               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096145,            0.023764,            0.029291,             0.71748,            0.096545,             0.21631,             0.09511,            0.027309,             0.01171,             0.01302,            0.070811,           0.0032432,           0.0032432
                   1,            0.064606,            0.022837,            0.026422,             0.36549,               0.775,             0.61016,             0.33816,            0.019788,           0.0074991,            0.011335,            0.040681,           0.0064464,           0.0064464
                   2,            0.060625,            0.019724,            0.024966,             0.55407,             0.76906,             0.79551,             0.46136,            0.027135,            0.005807,            0.010195,            0.010418,           0.0095175,           0.0095175
                   3,            0.054748,             0.01914,             0.02174,             0.67264,             0.56093,             0.69531,             0.34231,            0.022077,           0.0052803,           0.0056937,            0.009406,            0.009406,            0.009406
                   4,            0.050284,             0.01693,             0.01696,             0.84185,             0.88525,             0.91094,             0.39653,             0.02165,           0.0054274,           0.0040758,            0.009406,            0.009406,            0.009406
                   5,            0.046309,             0.01498,            0.013977,             0.66064,              0.6875,             0.74747,             0.40154,            0.016582,           0.0057096,           0.0096821,            0.009208,            0.009208,            0.009208
                   6,             0.04362,            0.015167,            0.011577,             0.90674,             0.92306,             0.94488,             0.49704,            0.020212,           0.0060922,           0.0010043,             0.00901,             0.00901,             0.00901
                   7,            0.040878,            0.013847,            0.010844,             0.86641,             0.87284,             0.88763,             0.53159,            0.015038,           0.0053191,            0.001118,            0.008812,            0.008812,            0.008812
                   8,            0.039802,            0.013558,           0.0095021,             0.82901,             0.82553,             0.86465,             0.35355,            0.019039,           0.0059665,           0.0031543,            0.008614,            0.008614,            0.008614
                   9,            0.037136,            0.013123,           0.0095612,             0.87235,             0.98204,             0.94364,              0.5029,            0.020256,           0.0051515,           0.0008334,            0.008416,            0.008416,            0.008416
                  10,            0.035083,            0.012782,           0.0097312,             0.94523,             0.91704,             0.95851,              0.5439,            0.013784,           0.0056128,          0.00092685,            0.008218,            0.008218,            0.008218
                  11,              0.0356,            0.012967,            0.009921,             0.65101,             0.81994,             0.89855,             0.43128,            0.016581,           0.0056766,           0.0048279,             0.00802,             0.00802,             0.00802
                  12,            0.033818,            0.012366,           0.0089255,             0.88476,             0.88141,              0.9511,             0.42262,            0.020112,           0.0055176,            0.001976,            0.007822,            0.007822,            0.007822
                  13,             0.03474,            0.012297,             0.01035,             0.94615,             0.99556,             0.95182,             0.47806,            0.016572,           0.0059268,          0.00062148,            0.007624,            0.007624,            0.007624
                  14,             0.03268,            0.012422,            0.008939,             0.89901,                   1,             0.95005,             0.54033,            0.014923,           0.0054651,          0.00075711,            0.007426,            0.007426,            0.007426
                  15,            0.029994,            0.012449,           0.0093241,             0.94988,                   1,             0.94977,             0.53641,            0.012204,           0.0052413,          0.00054089,            0.007228,            0.007228,            0.007228
                  16,            0.031085,            0.012092,           0.0062646,             0.94452,             0.99246,             0.94977,             0.55347,            0.016416,           0.0057379,          0.00063312,             0.00703,             0.00703,             0.00703
